Gender,Age,YearsCodePro,Country,Salary,EdLevel
Man,49.0,22.0,France,59454.0,"Professional degree (e.g., JD, MD)"
Man,42.0,5.0,Other,31200.0,Some college/university study without earning a degree
Man,27.0,4.0,Greece,80000.0,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
Man,24.0,2.0,United States,75000.0,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
Man,42.0,1.0,United States,100000.0,Some college/university study without earning a degree
Man,24.0,2.0,United States,82500.0,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
Man,27.0,10.0,Brazil,8712.0,Some college/university study without earning a degree
Man,30.0,8.0,United States,98000.0,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
Man,48.0,16.0,Germany,108098.0,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
Man,49.5,26.0,Canada,71850.0,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
Man,24.0,3.0,India,4188.0,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
Woman,26.0,2.0,Canada,55967.0,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
Woman,21.0,3.0,United States,24000.0,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
Man,32.0,9.0,Brazil,17184.0,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
Man,42.0,15.0,United States,80000.0,Some college/university study without earning a degree
Man,32.0,6.0,United Kingdom,87896.0,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
Man,39.0,1.0,United States,99000.0,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
Man,24.0,1.0,Canada,55967.0,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
Man,27.0,6.0,Netherlands,64859.0,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
Man,33.0,2.0,United Kingdom,84019.0,PhD or other doctoral degree
Man,26.0,3.0,United States,69000.0,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
Woman,34.0,7.0,United States,55000.0,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
Man,,4.0,Spain,36753.0,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
Man,27.0,2.0,United Kingdom,27144.0,Some college/university study without earning a degree
Man,32.0,2.0,Estonia,31348.0,Some college/university study without earning a degree
